"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1973/05/01","00:00","0.482","0.308","0.189","-0.113","-0.113","-0.415","-0.61","-0.924","0"
"1973/06/01","00:00","0.533","0.305","0.177","-0.122","-0.119","-0.418","-0.625","-0.911","0"
"1973/07/01","00:00","0.506","0.311","0.18","-0.122","-0.131","-0.442","-0.616","-0.887","0"
"1973/08/01","00:00","0.5","0.323","0.207","-0.092","-0.101","-0.405","-0.518","-0.634","0"
"1973/09/01","00:00","0.466","0.353","0.253","-0.037","-0.046","-0.341","-0.463","-0.689","0"
"1973/10/01","00:00","0.591","0.305","0.216","-0.049","-0.055","-0.326","-0.485","-0.655","0"
"1973/11/01","00:00","0.567","0.326","0.219","-0.061","-0.052","-0.32","-0.54","-1.061","0"
"1973/12/01","00:00","0.457","0.204","0.088","-0.177","-0.18","-0.451","-0.637","-1.049","0"
"1974/01/01","00:00","0.46","0.222","0.085","-0.201","-0.207","-0.5","-0.68","-0.972","0"
"1974/02/01","00:00","0.539","0.198","0.076","-0.204","-0.21","-0.494","-0.643","-1.061","0"
"1974/03/01","00:00","NaN","0.216","0.1","-0.198","-0.204","-0.509","-0.677","NaN","11"
"1974/04/01","00:00","0.439","0.21","0.097","-0.177","-0.186","-0.466","-0.625","-1","0"
"1974/05/01","00:00","0.613","0.277","0.171","-0.107","-0.113","-0.399","-0.57","-0.762","0"
"1974/06/01","00:00","0.747","0.381","0.25","-0.037","-0.043","-0.335","-0.524","-0.927","0"
"1974/07/01","00:00","0.46","0.299","0.171","-0.119","-0.125","-0.418","-0.573","-0.908","0"
"1974/08/01","00:00","0.518","0.302","0.186","-0.104","-0.11","-0.409","-0.53","-0.75","0"
"1974/09/01","00:00","0.472","0.363","0.271","-0.009","-0.018","-0.308","-0.402","-0.585","0"
"1974/10/01","00:00","0.57","0.286","0.207","-0.07","-0.073","-0.354","-0.488","-0.799","0"
"1974/11/01","00:00","0.567","0.219","0.104","-0.165","-0.168","-0.442","-0.628","-0.884","0"
"1974/12/01","00:00","0.478","0.195","0.064","-0.201","-0.21","-0.488","-0.686","-0.991","0"
"1975/01/01","00:00","0.521","0.174","0.061","-0.226","-0.229","-0.518","-0.674","-0.902","0"
"1975/02/01","00:00","0.622","0.238","0.125","-0.168","-0.174","-0.476","-0.591","-0.853","0"
"1975/03/01","00:00","0.405","0.186","0.094","-0.192","-0.195","-0.485","-0.61","-0.783","0"
"1975/04/01","00:00","0.515","0.201","0.104","-0.174","-0.177","-0.457","-0.607","-0.835","0"
"1975/05/01","00:00","0.497","0.271","0.168","-0.113","-0.113","-0.396","-0.549","-0.78","0"
"1975/06/01","00:00","0.436","0.28","0.174","-0.113","-0.113","-0.402","-0.576","-0.844","0"
"1975/07/01","00:00","0.585","0.372","0.25","-0.04","-0.043","-0.335","-0.476","-0.689","0"
"1975/08/01","00:00","NaN","0.35","0.241","-0.055","-0.055","-0.348","-0.469","NaN","11"
"1975/09/01","00:00","0.68","0.402","0.314","0.027","0.027","-0.259","-0.381","-0.57","11"
"1975/10/01","00:00","0.552","0.277","0.207","-0.061","-0.07","-0.348","-0.479","-0.695","0"
"1975/11/01","00:00","0.494","0.259","0.164","-0.104","-0.11","-0.387","-0.57","-0.847","0"
"1975/12/01","00:00","0.625","0.271","0.152","-0.122","-0.128","-0.409","-0.598","-1.009","0"
"1976/01/01","00:00","0.445","0.085","-0.049","-0.32","-0.326","-0.604","-0.771","-1.11","0"
"1976/02/01","00:00","NaN","0.079","-0.043","-0.329","-0.335","-0.628","-0.759","NaN","11"
"1976/03/01","00:00","NaN","0.14","0.049","-0.247","-0.253","-0.552","-0.665","NaN","11"
"1976/04/01","00:00","0.482","0.216","0.113","-0.168","-0.177","-0.463","-0.604","-0.863","0"
"1976/05/01","00:00","0.661","0.317","0.192","-0.101","-0.098","-0.387","-0.567","-0.832","0"
"1976/06/01","00:00","0.466","0.302","0.183","-0.104","-0.107","-0.396","-0.57","-0.841","0"
"1976/07/01","00:00","0.436","0.262","0.152","-0.128","-0.14","-0.43","-0.567","-0.786","0"
"1976/08/01","00:00","0.46","0.271","0.158","-0.131","-0.14","-0.436","-0.546","-0.732","0"
"1976/09/01","00:00","NaN","0.32","0.228","-0.058","-0.067","-0.366","-0.479","NaN","11"
"1976/10/01","00:00","0.616","0.21","0.134","-0.134","-0.143","-0.418","-0.564","-0.942","0"
"1976/11/01","00:00","NaN","0.143","0.046","-0.22","-0.226","-0.494","-0.662","NaN","11"
"1976/12/01","00:00","0.884","0.198","0.052","-0.235","-0.241","-0.534","-0.713","-1.033","1"
"1977/01/01","00:00","0.454","0.119","-0.009","-0.296","-0.302","-0.598","-0.741","-1.329","1"
"1977/02/01","00:00","0.29","0.049","-0.052","-0.332","-0.338","-0.625","-0.756","-1.042","1"
"1977/03/01","00:00","0.347","0.143","0.043","-0.235","-0.241","-0.527","-0.655","-0.945","1"
"1977/04/01","00:00","0.369","0.131","0.055","-0.232","-0.238","-0.534","-0.658","-0.991","1"
"1977/05/01","00:00","0.427","0.274","0.171","-0.131","-0.137","-0.442","-0.594","-0.863","1"
"1977/06/01","00:00","0.613","0.308","0.198","-0.088","-0.098","-0.39","-0.567","-0.857","0"
"1977/07/01","00:00","0.478","0.286","0.161","-0.131","-0.146","-0.451","-0.601","-0.966","0"
"1977/08/01","00:00","0.524","0.314","0.216","-0.073","-0.079","-0.375","-0.473","-0.695","1"
"1977/09/01","00:00","0.527","0.369","0.289","0.003","-0.003","-0.296","-0.393","-0.54","1"
"1977/10/01","00:00","0.417","0.235","0.161","-0.122","-0.128","-0.415","-0.543","-0.85","0"
"1977/11/01","00:00","0.439","0.262","0.168","-0.104","-0.11","-0.39","-0.552","-1.082","1"
"1977/12/01","00:00","NaN","0.192","0.027","-0.235","-0.241","-0.506","-0.719","NaN","11"
"1978/01/01","00:00","0.942","0.122","-0.006","-0.293","-0.299","-0.594","-0.75","-1.079","1"
"1978/02/01","00:00","0.503","0.158","0.052","-0.226","-0.235","-0.521","-0.646","-1.009","0"
"1978/03/01","00:00","0.405","0.134","0.052","-0.244","-0.25","-0.552","-0.683","-0.89","0"
"1978/04/01","00:00","0.472","0.198","0.119","-0.165","-0.174","-0.466","-0.619","-0.835","0"
"1978/05/01","00:00","0.731","0.25","0.152","-0.113","-0.116","-0.387","-0.54","-0.793","0"
"1978/06/01","00:00","0.585","0.28","0.161","-0.11","-0.116","-0.39","-0.552","-0.722","0"
"1978/07/01","00:00","0.475","0.344","0.228","-0.061","-0.067","-0.363","-0.497","-0.671","13"
"1978/08/01","00:00","NaN","0.311","0.213","-0.092","-0.098","-0.409","-0.588","NaN","11"
"1978/09/01","00:00","NaN","0.347","0.268","-0.034","-0.04","-0.348","-0.476","NaN","11"
"1978/10/01","00:00","0.57","0.347","0.277","-0.009","-0.015","-0.305","-0.424","-0.652","0"
"1978/11/01","00:00","0.625","0.32","0.235","-0.052","-0.052","-0.341","-0.506","-0.729","0"
"1978/12/01","00:00","0.497","0.207","0.073","-0.201","-0.207","-0.491","-0.674","-0.927","1"
"1979/01/01","00:00","0.631","0.213","0.088","-0.21","-0.22","-0.527","-0.698","-1.143","1"
"1979/02/01","00:00","0.57","0.137","0.033","-0.259","-0.268","-0.573","-0.704","-1.11","1"
"1979/03/01","00:00","0.527","0.183","0.097","-0.192","-0.201","-0.497","-0.61","-0.808","0"
"1979/04/01","00:00","0.494","0.241","0.158","-0.119","-0.128","-0.415","-0.558","-0.793","0"
"1979/05/01","00:00","0.43","0.238","0.143","-0.146","-0.149","-0.442","-0.607","-0.899","0"
"1979/06/01","00:00","0.497","0.253","0.146","-0.137","-0.143","-0.433","-0.601","-0.823","0"
"1979/07/01","00:00","0.622","0.317","0.21","-0.07","-0.076","-0.363","-0.494","-0.777","0"
"1979/08/01","00:00","0.582","0.366","0.259","-0.028","-0.034","-0.326","-0.436","-0.698","1"
"1979/09/01","00:00","0.768","0.387","0.311","0.021","0.015","-0.281","-0.372","-0.64","1"
"1979/10/01","00:00","0.469","0.274","0.204","-0.076","-0.082","-0.366","-0.488","-0.71","0"
"1979/11/01","00:00","0.448","0.207","0.131","-0.137","-0.143","-0.421","-0.57","-0.875","0"
"1979/12/01","00:00","0.497","0.186","0.073","-0.207","-0.213","-0.5","-0.677","-1.082","1"
"1980/01/01","00:00","NaN","0.228","0.119","-0.159","-0.165","-0.445","-0.598","NaN","11"
"1980/02/01","00:00","0.61","0.171","0.064","-0.213","-0.217","-0.497","-0.625","-0.948","0"
"1980/03/01","00:00","0.588","0.152","0.091","-0.217","-0.213","-0.518","-0.64","-1.064","0"
"1980/04/01","00:00","0.527","0.189","0.119","-0.159","-0.165","-0.451","-0.591","-0.884","0"
"1980/05/01","00:00","0.436","0.259","0.158","-0.122","-0.128","-0.415","-0.579","-0.829","0"
"1980/06/01","00:00","0.463","0.289","0.168","-0.119","-0.122","-0.409","-0.604","-0.918","0"
"1980/07/01","00:00","0.503","0.289","0.177","-0.113","-0.119","-0.412","-0.564","-0.777","0"
"1980/08/01","00:00","0.555","0.277","0.174","-0.104","-0.113","-0.399","-0.509","-0.683","0"
"1980/09/01","00:00","0.527","0.302","0.219","-0.058","-0.067","-0.357","-0.463","-0.61","0"
"1980/10/01","00:00","0.445","0.204","0.137","-0.134","-0.146","-0.43","-0.561","-0.96","0"
"1980/11/01","00:00","0.478","0.241","0.152","-0.116","-0.122","-0.396","-0.558","-1.049","0"
"1980/12/01","00:00","0.396","0.168","0.049","-0.217","-0.223","-0.494","-0.652","-1.055","0"
"1981/01/01","00:00","0.539","0.107","-0.018","-0.293","-0.299","-0.576","-0.729","-1.21","0"
"1981/02/01","00:00","0.332","0.113","0.024","-0.277","-0.274","-0.57","-0.707","-1.119","0"
"1981/03/01","00:00","0.777","0.161","0.055","-0.226","-0.232","-0.518","-0.662","-0.875","0"
"1981/04/01","00:00","0.317","0.161","0.094","-0.195","-0.201","-0.497","-0.634","-0.991","0"
"1981/05/01","00:00","0.646","0.241","0.161","-0.131","-0.134","-0.433","-0.598","-0.814","0"
"1981/06/01","00:00","0.451","0.271","0.158","-0.122","-0.131","-0.418","-0.601","-0.908","0"
"1981/07/01","00:00","0.591","0.335","0.201","-0.085","-0.092","-0.384","-0.552","-0.762","0"
"1981/08/01","00:00","0.594","0.308","0.186","-0.085","-0.095","-0.375","-0.503","-0.698","0"
"1981/09/01","00:00","0.488","0.293","0.198","-0.07","-0.076","-0.354","-0.46","-0.665","0"
"1981/10/01","00:00","0.539","0.219","0.143","-0.119","-0.125","-0.396","-0.527","-0.832","0"
"1981/11/01","00:00","0.795","0.283","0.183","-0.088","-0.092","-0.363","-0.537","-0.918","0"
"1981/12/01","00:00","0.509","0.177","0.04","-0.22","-0.229","-0.497","-0.68","-1.046","0"
"1982/01/01","00:00","0.417","0.122","0","-0.271","-0.277","-0.552","-0.722","-1.131","0"
"1982/02/01","00:00","0.363","0.137","0.046","-0.235","-0.244","-0.537","-0.704","-1.122","0"
"1982/03/01","00:00","0.585","0.18","0.085","-0.204","-0.217","-0.518","-0.649","-1.113","0"
"1982/04/01","00:00","0.503","0.177","0.076","-0.207","-0.207","-0.494","-0.652","-0.966","0"
"1982/05/01","00:00","0.448","0.207","0.113","-0.174","-0.183","-0.479","-0.634","-0.933","0"
"1982/06/01","00:00","1.033","0.296","0.177","-0.101","-0.101","-0.378","-0.561","-0.826","0"
"1982/07/01","00:00","0.533","0.259","0.131","-0.137","-0.146","-0.421","-0.601","-0.881","0"
